"Class","Tool","Query","MedMs","MinMs","Hits"
"literal","grep -r","CancellationToken","41133.9","35779.2","1396"
"literal","grep -r","ConfigureAwait","37438.6","36452","460"
"literal","grep -r","IAsyncEnumerable","37636.6","36075","229"
"literal","grep -r","StructLayout","40424.4","38944.1","949"
"literal","ripgrep","CancellationToken","22702.4","22596.3","1390"
"literal","ripgrep","ConfigureAwait","26700.9","25866.6","457"
"literal","ripgrep","IAsyncEnumerable","23638.1","23476.5","229"
"literal","ripgrep","StructLayout","22319.2","21802.3","946"
"literal","git grep","CancellationToken","7969.9","7823.7","1396"
"literal","git grep","ConfigureAwait","8057.6","7903.4","460"
"literal","git grep","IAsyncEnumerable","8100.9","7992","229"
"literal","git grep","StructLayout","8023.6","8003.5","949"
"literal","tgrep cold","CancellationToken","633.5","611","1387"
"literal","tgrep cold","ConfigureAwait","219.5","206.8","456"
"literal","tgrep cold","IAsyncEnumerable","126.8","117","228"
"literal","tgrep cold","StructLayout","424.8","422.8","945"
"literal","srndx cold","CancellationToken","1101.9","1097.2","5"
"literal","srndx cold","ConfigureAwait","1111.8","1082.4","5"
"literal","srndx cold","IAsyncEnumerable","1100","1052.5","5"
"literal","srndx cold","StructLayout","1121.4","1038.9","5"
"natural","grep -r","cancel an async operation with a token","41448","37045.4","0"
"natural","grep -r","read a file asynchronously into a buffer","37629.2","36328.5","0"
"natural","grep -r","compute a hash of a byte span","44677.5","44391.4","0"
"natural","grep -r","parse json into a strongly typed object","46186.7","45347.7","0"
"natural","ripgrep","cancel an async operation with a token","22757.1","22637.5","0"
"natural","ripgrep","read a file asynchronously into a buffer","23215.9","22883.6","0"
"natural","ripgrep","compute a hash of a byte span","22584.1","21973.6","0"
"natural","ripgrep","parse json into a strongly typed object","22179","21910.3","0"
"natural","git grep","cancel an async operation with a token","7901.6","7876.1","0"
"natural","git grep","read a file asynchronously into a buffer","8547.2","8157.7","0"
"natural","git grep","compute a hash of a byte span","8221","8169","0"
"natural","git grep","parse json into a strongly typed object","8232.7","8227.4","0"
"natural","tgrep cold","cancel an async operation with a token","32.2","30.1","0"
"natural","tgrep cold","read a file asynchronously into a buffer","44.6","44.1","0"
"natural","tgrep cold","compute a hash of a byte span","46.1","43.6","0"
"natural","tgrep cold","parse json into a strongly typed object","27.1","22.6","0"
"natural","srndx cold","cancel an async operation with a token","1181.3","1110.1","5"
"natural","srndx cold","read a file asynchronously into a buffer","1135.1","1100.6","5"
"natural","srndx cold","compute a hash of a byte span","1169","1147.9","5"
"natural","srndx cold","parse json into a strongly typed object","1180.6","1172","5"
"literal","tgrep warm","CancellationToken","50.1","47.8","1387"
"literal","tgrep warm","ConfigureAwait","39.1","34.5","456"
"literal","tgrep warm","IAsyncEnumerable","22.8","18.1","228"
"literal","tgrep warm","StructLayout","46.7","37.2","945"
"natural","tgrep warm","cancel an async operation with a token","29.1","26.3","0"
"natural","tgrep warm","read a file asynchronously into a buffer","27.7","25.7","0"
"natural","tgrep warm","compute a hash of a byte span","30.9","23.8","0"
"natural","tgrep warm","parse json into a strongly typed object","24.1","23.9","0"
"literal","srndx warm","CancellationToken","35.6","28.3","5"
"literal","srndx warm","ConfigureAwait","28.3","27.5","5"
"literal","srndx warm","IAsyncEnumerable","40.1","32.6","5"
"literal","srndx warm","StructLayout","43.6","30","5"
"natural","srndx warm","cancel an async operation with a token","90","74.5","5"
"natural","srndx warm","read a file asynchronously into a buffer","72.5","53.3","5"
"natural","srndx warm","compute a hash of a byte span","84.8","71.3","5"
"natural","srndx warm","parse json into a strongly typed object","76.7","62.8","5"
